Amount Stolen (crypto),City,Closed,Company Name,Country,Details,F14,F15,F3,Link,Month,Type of Crypto Affected,Year,Amount Stolen (USD),Amount Today (19/11/2021)
,Seoul,Yes,Youbit,South Korea,,,,01-Dec-17,https://www.coindesk.com/markets/2017/12/19/bitcoin-exchange-youbit-to-declare-bankruptcy-after-hack/,December,,2017,,
,,No,Poly Network,China,Hacker returned all of the money,https://www.theverge.com/2021/8/23/22638087/poly-network-600-million-stolen-crypto-hack-restored-defi,https://currency.com/how-safe-is-my-crypto-stash,01-Aug-21,https://www.cnbc.com/2021/08/23/poly-network-hacker-returns-remaining-cryptocurrency.html,August,"Ethereum (ETH),
Binance Tokens,
Dogecoin (DOGE)
Tether (USDT)",2021,610000000,610000000
"500,000,000",Tokyo,No,Coincheck,Japan,,https://bitcoinmagazine.com/business/following-massive-cryptocurrency-hack-coincheck-pledges-improve-operations-refund-losses,,01-Jan-18,https://www.comparitech.com/crypto/biggest-cryptocurrency-heists/,January,NEM (XEM),2018,532000000,91446544
"850,000",Shibuya,Yes,MT Gox,Japan,,https://www.coindesk.com/markets/2014/05/31/why-professional-audits-are-essential-in-a-post-gox-world/,,01-Feb-14,https://www.comparitech.com/crypto/biggest-cryptocurrency-heists/,February,BitCoin (BTC),2014,470000000,48461900000
"2015 (BTC)
11480 (ETH)
14713 (BSV)
26733 (LTC)
18495798 (XRP)
9588383 (XLM)
199038936 (TRX)
999160 (USDT)",,No,KuCoin,Singapore,,https://www.reuters.com/article/us-northkorea-sanctions-cyber-idUSKBN2AA00Q,,01-Sep-20,https://www.coindesk.com/markets/2020/09/26/over-280m-drained-in-kucoin-crypto-exchange-hack/,September,"Bitcoin (BTC)
Ethereum (ETH)
Bitcoin SV (BSV)
Litecoin (LTC)
XRP (XRP)
Stellar Lumens (XLM)
Tron (TRX)
Tether (USDT)",2020,281000000,212633812.8
"697000 (BUNNY)
114000 (BNB)",Massachusetts,No,PancakeBunny,United States,Flash Loan,,,01-May-21,https://cointelegraph.com/news/pancakebunny-tanks-96-following-200m-flash-loan-exploit,May,PancakeBunny (BUNNY),2021,200000000,
"17,000,000",Signa,Yes,BitGrail,Italy,Founder had something to do with it,https://cointelegraph.com/news/bitgrail-s-founder-contributed-to-150m-loss-italian-authorities-allege,,01-Feb-18,https://www.comparitech.com/crypto/biggest-cryptocurrency-heists/,February,Nano (XRB)(NANO),2018,170000000,81940000
,Warsaw,No,Cream Finance,Poland,Flash loan,,,01-Oct-21,https://therecord.media/hackers-steal-130-million-from-cream-finance-the-companys-3rd-hack-this-year/,October,(See link),2021,130000000,130000000
109 (ERC-20),,Yes,CoinBene,Singapore,Claimed they were never hacked,,,01-Mar-19,https://cointelegraph.com/news/over-100-million-missing-coinbene-claims-maintenance-a-month-of-questions-point-toward-a-hack,March,"ERC-20
Huobipool Token (HPT)
Pundi X (NPSX)
Maximine Coin (MXM
Udoo (UDOO)",2019,105000000,105000000
"32500000 USD (ETH) (10211.45568 ETH*)
12900000 USD (XRP) (10463984.43 XRP*)
4800000 USD (BTC) (84.55914736 BTC*)
200000 USD (TRX) (1992031.873 TRX*)
9200000 USD (Stablecoins)
32700000 USD (Other)",Tokyo,No,Liquid,Japan,,,,01-Aug-21,https://www.zdnet.com/article/more-than-97-million-stolen-from-liquid-cryptocurency-exchange/,August,"Ether (ETH),
XRP (XRP)
Bitcoin (BTC)
Tron (TRX)
Stablecoins
Other",2021,97000000,101010653.4
"2980000 (EZ)
6000000 (USD)
6000000 USD (DAI)
6000000 USD (USDT)",Gurgaon,No,EasyFi,India,,,,01-Apr-21,https://halborn.com/explained-the-easyfi-hack-april-2021/,April,"EASY Tokens (EZ)
US Dollar (USD)
Dai (DAI)
Tether (USDT)",2021,81000000,30933200
"119,756",Taipei,No,Bitfinex,Taiwan,,,,01-Aug-16,https://www.comparitech.com/crypto/biggest-cryptocurrency-heists/,August,Bitcoin (BTC),2016,72000000,6827768584
"4,700",Maribor,No,NiceHash,Slovenia,Bit mining company,,,01-Dec-17,https://www.comparitech.com/crypto/biggest-cryptocurrency-heists/,December,Bitcoin (BTC),2017,64000000,267965800
"2723.4 (BTC)
40360 (BCH)
5911859.3 (MONA)",Osaka,No,Zaif,Japan,,,,01-Sep-18,https://www.comparitech.com/crypto/biggest-cryptocurrency-heists/,September,"Bitcoin (BTC), 
Bitcoin Cash (BCH),
Monacoin (MONA)",2018,62000000,188405920
"3,600,000.0",London,Yes,The Dao,United Kingdom,,,,01-Jun-16,https://www.coindesk.com/learn/2016/06/25/understanding-the-dao-attack/,June,Ethereum (ETH),2016,55000000,15499620000
"342,000",Seoul,No,Upbit,South Korea,,,,01-Nov-19,https://www.comparitech.com/crypto/biggest-cryptocurrency-heists/,November,Ethereum (ETH),2019,50700000,1472463900
"36800000 USD (BNB,BUSD)
80 BTC
1800 (ETH)
26500 (DOT)
5700000 (USDT)
638000 (ADA)
112000 U92)",,Yes,Uranium Finance,/,,,,01-Apr-21,https://cointelegraph.com/news/50m-reportedly-stolen-from-bsc-based-uranium-finance,April,"Binance Coin (BNB)
Binance USD (BUSD)
Bitcoin (BTC)
Ethereum (ETH)
Polkadot (DOT)
Tether (USDT)
Cardano (ADA)
U92 Token (U92)",2021,50000000,56756520
"7,000",,No,Binance,Cayman Islands,,,,01-May-19,https://www.comparitech.com/crypto/biggest-cryptocurrency-heists/,May,Bitcoin (BTC),2019,40000000,399098000
,Seoul,No,Coinrail,South Korea,,https://news.bitcoin.com/hacked-korean-crypto-exchange-restart-service-controversies/,,01-Jun-18,https://www.zdnet.com/article/south-korean-cryptocurrency-exchange-hack-sees-40m-in-altcoin-stolen/,June,"Pundi X (NPXS)
Aston (ATX)
Nper (NPER)",2018,40000000,40000000
,"Bangkok
Warsaw",No,"Alpha Finance Lab
Cream Finance",Thailand,Flash Loan,https://blog.alphafinance.io/alpha-homora-v2-post-mortem/,,01-Feb-21,https://cointelegraph.com/news/alpha-homora-loses-37-million-following-iron-bank-exploit,February,sUSD,2021,37000000,37000000
"213.93 (BTC)
8804.7 (ETH)",Arizona,No,Vee FInance,United States,,,,01-Sep-21,https://www.coindesk.com/tech/2021/09/21/vee-finance-hit-for-35m-in-second-major-exploit-on-avalanche/,September,"Bitcoin (BTC)
Ethereum (ETH)",2021,35000000,50105200.6
"1225 (BTC)
1985 (BCH)
5108 (LTC)
28000000 XRP)
11169 (ETH)",,No,BITpoint,Japan,,https://cointelegraph.com/news/most-significant-hacks-of-2019-new-record-of-twelve-in-one-year,https://selfkey.org/list-of-cryptocurrency-exchange-hacks/,01-Jul-19,https://www.zdnet.com/article/bitpoint-cryptocurrency-exchange-hacked-for-32-million/,July,"Bitcoin (BTC)
Bitcoin Cash (BCH)
Litecoin (LTC)
Ripple (XRP)
Ethereum (ETH)",2019,32000000,147166421.4
"13960000 (BUSD)
73653 (BNB)",,No,Meerkat FInance,/,There's a chance it was an exit scam,https://coincodex.com/article/10890/how-binance-security-team-helped-recover-30m-funds-from-meerkat-finance-hack/,https://cointelegraph.com/news/dev-says-31-million-meerkat-finance-exploit-was-a-test-will-return-funds,01-Mar-21,https://www.nasdaq.com/articles/defi-project-meerkat-raises-eyebrows-with-claimed-%2431m-hack-a-day-after-launch-2021-03-04,March,"Binance USD (BUSD)
Binance Coin (BNB)",2021,31000000,58747581.3
,Seoul,No,Bithumb,South Korea,,,,01-Jun-18,https://www.zdnet.com/article/bithumb-cryptocurrency-exchange-hacked-a-third-time-in-two-years/,June,Ripple (XRP),2018,31000000,31000000
,,No,Spartan Protocol,/,Flash Loan,,,01-May-21,https://halborn.com/explained-the-spartan-protocol-hack-may-2021/,May,"Spartan Protocol (SPARTA)
Wrapped Binance Coin (WBNB)",2021,30000000,30000000
"? (BTC)
100 (ETH)",,Yes,CoinBin,South Korea,Wasn't a hack it was employee embezzlement,,,01-Feb-19,https://cointelegraph.com/news/south-koreas-coinbin-files-for-bankruptcy-with-26-mln-loss-cites-employee-embezzlement,February,"Bitcoin (BTC)
Ethereum (ETH)",2019,26000000,26000000
"3,469",,Yes,Lendf.me (dForce),/,Hackers did end up returning the funds after their IP address was discovered,https://www.zdnet.com/article/hackers-steal-25-million-worth-of-cryptocurrency-from-uniswap-and-lendf-me/,,01-Apr-20,https://techdator.net/uniswap-and-lenf-me-lost-over-25-million-worth-cryptocurrency/,April,The Tokenized Bitcoin (IMBTC),2020,24500000,197712469.7
"8000000 USD (SNX) (455,580.87 SNX*)
6000000 (BNT)",San Francisco,No,xToken,United States,Flash Loan,,12th may,01-May-21,https://www.coindesk.com/markets/2021/05/12/defi-protocol-xtoken-suffers-245m-exploit/,May,"Synthetix (SNX)
Bancor (BNT)",2021,24500000,27241412.3
,,No,Harvest Finance,/,Flash Loan,,,01-Oct-20,https://www.coindesk.com/tech/2020/10/26/harvest-finance-24m-attack-triggers-570m-bank-run-in-latest-defi-exploit/,October,"USD Coin (USDC)
Tether (USDT)",2020,24000000,24000000
"12500000 USD (ETH) (23742.59231 ETH*)
1000000 USD (NPXS) (145369966.6 NPXS*)
10000000 USD (BNT) (2825257.805 BNT*)",Zug,No,Bancor,Switzerland,,,,01-Jul-18,https://techcrunch.com/2018/07/10/bancor-loses-23-5m/,July,"Ethereum (ETH)
Pundi X (NPXS)
Bancor (BNT)",2018,23500000,312595671.8
1980,Berlin,No,Electrum Wallet,Germany,,,,01-Oct-20,https://coingeek.com/hackers-steal-over-22-million-via-electrum-wallet/,October,Bitcoin (BTC),2020,22000000,112887720
,,No,Popsicle Finance,/,,,,01-Aug-21,https://www.coindesk.com/markets/2021/08/04/popsicle-finance-loses-207m-in-cyberattack/,August,"USD COin (USDC)
Thether (USDT)
Others",2021,20700000,20700000
"19,700,000",,No,Pickle Finance,/,Flash Loan?,,,01-Nov-20,https://www.coindesk.com/markets/2020/11/22/defi-protocol-pickle-finance-token-loses-almost-half-its-value-after-197m-hack/,November,Dai (DAI),2020,19700000,19700000
"3000000 (EOS)
20000000(XRP)",Seoul,No,Bithumb,South Korea,,,,01-Mar-19,https://www.zdnet.com/article/bithumb-cryptocurrency-exchange-hacked-a-third-time-in-two-years/,March,"EOS (EOS)
Ripple (XRP)",2019,19400000,31132160
"1308.09 (ETH)
418,311,571 (AMP)",Warsaw,No,Cream Finance,Poland,Flash Loan,,,01-Aug-21,https://cointelegraph.com/news/cream-finance-defi-platform-loses-19m-in-a-flash-loan-hack,August,"Ethereum (ETH)
Amp (AMP)",2021,18800000,26091657.4
"388,000",New York,No,Bitcoin Gold,United States,It was a cryptocurrency not a exchange that was hacked,,,01-May-18,https://www.zdnet.com/article/bitcoin-gold-delisted-from-major-cryptocurrency-exchange-after-refusing-to-pay-hack-damages/,May,Bitcoin Gold (BTG),2018,18000000,21126600
,Christchurch,Yes,Cryptopia,New Zealand,,,,01-Jan-19,https://cointelegraph.com/news/most-significant-hacks-of-2019-new-record-of-twelve-in-one-year,January,,2019,16002108,16002108
"11000000 USD (DEFI5) (123,971.6 DEFI5*)
5000000 USD (CC10) (80000 CC10*)",,No,Indexed Finance,/,Flash loan,,,01-Oct-21,https://cryptobriefing.com/defi-protocol-indexed-finance-suffers-16m-exploit/,October,"DEFI5
CC10",2021,16000000,133889.3
"53,571,429",,No,Eminence,South Africa,8 million was returned,,,01-Sep-20,https://decrypt.co/43203/hackers-drain-15-million-from-unreleased-yearn-finance-project,September,Eminence tokens (EMN),2020,15000000,0
"3,844",Los Angeles,No,Rari Capital,United States,,,,01-May-21,https://www.coindesk.com/markets/2021/05/08/rari-capital-reports-exploit-in-eth-pool-15m-taken/,May,Ethereum (ETH),2021,15000000,16548178.8
,,No,Furucombo,Singapore,,,,01-Feb-21,https://www.theblockcrypto.com/linked/96572/defi-building-block-service-furucombo-exploited-for-14m,February,"Ethereum (ETH)
ERC-20",2021,14000000,14000000
277,"Chiasso
Panevėžys",No,pNetwork,"Switzerland
Lithuania",,,,01-Sep-21,https://decrypt.co/81301/defi-bridging-protocol-pnetwork-suffers-12-million-hack,September,Bitcoin (BTC),2021,12500000,15792878
