Candlestick Color,Date,Name,Slug,Symbol,Close,Close Ratio,Close-Open,High,Low,Market,Number of Records,Open,Ranknow,Spread,Volume
False,28-Apr-13,Bitcoin,bitcoin,BTC,134.21,0.5438,-1.09,135.98,132.1,1500520000,1,135.3,1,3.88,0
True,29-Apr-13,Bitcoin,bitcoin,BTC,144.54,0.7813,10.1,147.49,134,1491160000,1,134.44,1,13.49,0
False,30-Apr-13,Bitcoin,bitcoin,BTC,139,0.3843,-5,146.93,134.05,1597780000,1,144,1,12.88,0
False,01-May-13,Bitcoin,bitcoin,BTC,116.99,0.2882,-22.01,139.89,107.72,1542820000,1,139,1,32.17,0
False,02-May-13,Bitcoin,bitcoin,BTC,105.21,0.3881,-11.17,125.6,92.28,1292190000,1,116.38,1,33.32,0
False,03-May-13,Bitcoin,bitcoin,BTC,97.75,0.6424,-8.5,108.13,79.1,1180070000,1,106.25,1,29.03,0
True,04-May-13,Bitcoin,bitcoin,BTC,112.5,0.8889,14.4,115,92.5,1089890000,1,98.1,1,22.5,0
True,05-May-13,Bitcoin,bitcoin,BTC,115.91,0.7521,3.010000000,118.8,107.14,1254760000,1,112.9,1,11.66,0
False,06-May-13,Bitcoin,bitcoin,BTC,112.3,0.3141,-3.680000000,124.66,106.64,1289470000,1,115.98,1,18.02,0
False,07-May-13,Bitcoin,bitcoin,BTC,111.5,0.8767,-0.75,113.44,97.7,1248470000,1,112.25,1,15.74,0
True,08-May-13,Bitcoin,bitcoin,BTC,113.57,0.6424,3.97,115.78,109.6,1219450000,1,109.6,1,6.18,0
False,09-May-13,Bitcoin,bitcoin,BTC,112.67,0.8119,-0.530000000,113.46,109.26,1259980000,1,113.2,1,4.2,0
True,10-May-13,Bitcoin,bitcoin,BTC,117.2,0.5407,4.400000000,122,111.55,1255970000,1,112.8,1,10.45,0
False,11-May-13,Bitcoin,bitcoin,BTC,115.24,0.3933,-2.460000000,118.68,113.01,1311050000,1,117.7,1,5.67,0
False,12-May-13,Bitcoin,bitcoin,BTC,115,0.389,-0.640000000,117.45,113.44,1288630000,1,115.64,1,4.01,0
True,13-May-13,Bitcoin,bitcoin,BTC,117.98,0.8286,3.160000000,118.7,114.5,1279980000,1,114.82,1,4.2,0
False,14-May-13,Bitcoin,bitcoin,BTC,111.5,0.1309,-6.48,119.8,110.25,1315720000,1,117.98,1,9.55,0
True,15-May-13,Bitcoin,bitcoin,BTC,114.22,0.8708,2.820000000,115.81,103.5,1242760000,1,111.4,1,12.31,0
True,16-May-13,Bitcoin,bitcoin,BTC,118.76,1,4.540000000,118.76,112.2,1274620000,1,114.22,1,6.56,0
True,17-May-13,Bitcoin,bitcoin,BTC,123.02,0.7388,4.81,125.3,116.57,1319590000,1,118.21,1,8.73,0
False,18-May-13,Bitcoin,bitcoin,BTC,123.5,0.4068,0,125.25,122.3,1379140000,1,123.5,1,2.95,0
False,19-May-13,Bitcoin,bitcoin,BTC,121.99,0.4909,-1.22,124.5,119.57,1376370000,1,123.21,1,4.93,0
False,20-May-13,Bitcoin,bitcoin,BTC,122,0.5371,-0.5,123.62,120.12,1368910000,1,122.5,1,3.5,0
True,21-May-13,Bitcoin,bitcoin,BTC,122.88,0.933,0.860000000,123,121.21,1363940000,1,122.02,1,1.79,0
True,22-May-13,Bitcoin,bitcoin,BTC,123.89,0.945,1,124,122,1374130000,1,122.89,1,2,0
True,23-May-13,Bitcoin,bitcoin,BTC,126.7,0.9399,2.900000000,126.93,123.1,1384780000,1,123.8,1,3.83,0
True,24-May-13,Bitcoin,bitcoin,BTC,133.2,0.92,6.900000000,133.85,125.72,1413300000,1,126.3,1,8.13,0
False,25-May-13,Bitcoin,bitcoin,BTC,131.98,0.713,-1.12,133.22,128.9,1489950000,1,133.1,1,4.32,0
True,26-May-13,Bitcoin,bitcoin,BTC,133.48,0.5316,1.490000000,136,130.62,1478030000,1,131.99,1,5.38,0
False,27-May-13,Bitcoin,bitcoin,BTC,129.75,0.4689,-3.75,135.47,124.7,1495520000,1,133.5,1,10.77,0
False,28-May-13,Bitcoin,bitcoin,BTC,129,0.6827,-0.770000000,130.58,125.6,1454310000,1,129.77,1,4.98,0
True,29-May-13,Bitcoin,bitcoin,BTC,132.3,0.9412,3.300000000,132.59,127.66,1446190000,1,129,1,4.93,0
False,30-May-13,Bitcoin,bitcoin,BTC,128.8,0.3429,-3.450000000,132.25,127,1483180000,1,132.25,1,5.25,0
True,31-May-13,Bitcoin,bitcoin,BTC,129,0.7429,0.200000000,129.9,126.4,1445050000,1,128.8,1,3.5,0
True,01-Jun-13,Bitcoin,bitcoin,BTC,129.3,0.814,0.490000000,129.78,127.2,1445800000,1,128.81,1,2.58,0
False,02-Jun-13,Bitcoin,bitcoin,BTC,122.29,0.5045,-7.010000000,129.4,115.05,1451930000,1,129.3,1,14.35,0
